Question,Answer
Where Do You Get Disability Insurance?,"If disability benefits are not offered through your employer, contact a local independent agent experienced in disability insurance coverage. Like all insurance, you need to apply and qualify for coverage. A good agent can help you select the best company for your situation and the amount of coverage you need. 
"
Does Each Tenant Need Renters Insurance?,"It is always wise for a tenant to carry Renters insurance. Many people believe that since an owner has a policy on the property, their possessions are covered as well as his. But the policy a landlord holds does not carry much coverage for personal property. It is really more for protecting the property, not personal property. Renters insurance ensures the tenants possessions are covered in the event of theft, fire or some type of disaster. 
"
Can Life Insurance Refuse To Pay?,"Life insurance companies can refuse to pay the death benefit if it is two years since the policy was purchased, and they find that there were misrepresentations on the application. E.g. The applicant was scheduled for a spinal tap due to suspicion of cancer, but answered ""no"" to the question that asked if there were pending tests for diagnosis of disease. If the health questions are answered honestly, the life insurance policy will pay, because they base their approval upon what is written on the application. They also do not pay if death by suicide occurs during the first two years of the policy, or if there are explicit exceptions on a particular policy. E.g. Some policies will exclude payment if death is caused by piloting a private plane, but that is almost always spelled out in an amendment or rider. 
"
Does Long Term Care Insurance Cover Assisted Living?,"Yes, Long Term Care Insurance often covers assisted living. It depends on the wording of the policy. Many Long Term Care policies simply reimburse the person needing the care so they can spend the LTC benefit where they wish. This can be an assisted living residence, or even staying in their own home if they are able to hire someone to assist them with ADL's. 
"
How Do I Choose A Medigap Plan?,"It can be overwhelming research Medigap on your own. The best way to choose a Medigap Plan is to work with an independent agent. Trying to navigate the internet is time consuming and actually limits your Medigap choices. However you wish to proceed, make sure you look at a comparison chart and Outline of Coverage for the 10 standardized Medigap Plans. They each have varying benefits. You'll want to determine which benefits are important to you and which Medigap plan best fits your budget. The two most popular plans are Medigap Plan F and Plan G. Medigap Plan F will cover all the gaps in Medicare coverage. You don't have to meet any deductibles, co-pays or co-insurance. Medigap Plan G acts just like Plan F -- after you've met the small $147 annual Part B deductible (2014). Medigap Plan G's premium is often lower than Plan F. If you would like assistance in comparing plans and premiums, please contact me. My personalized service is always free. 
"
When Does Obamacare Start?,"Open Enrollment started October 1st. For plans effective January 1st, you may enroll up until December 31st. This year the Open Enrollment is extended until March 31st. You must obtain a creditable health plan by March 31st or you will be penalized. You may purchase either on or off the exchange. If you qualify for a subsidy you are better off in most cases to purchase on the exchange. 
"
How Much Does Life Insurance Typically Cost?,"The best way to see what life insurance would typically cost for you is to go to a website that offers instant life insurance quotes, and experiment with different face amounts and term lengths. Typically, most people do not qualify for the best rate class, and and you will be seeing the most competitive rates in the industry. But it will give you an idea. 
"
Is Life Insurance For Life?,"There are two basic types of life insurance. The first is whole (sometimes called permanent)life insurance which will remain in effect until the insured death as long as the premium and other requirments of the policy have been met. The other type of policy is term (sometimes called temporary) life insurance this type of policy is established for a set period of time; typically ten, twenty or thirty years. Call a local agent to discuss any other questions that you may have. 
"
What Is Listed On A Group Life Certificate Of Insurance?,"What is listed on a group life certificate of coverage? Pretty basic information actually. It will have the insurance carrier's name and contact information, a group number, death benefit amount, including accidental death in some cases. It might have the individual insured by the plan name on it, but it might not as well. It may just have employees of ABC company. In that case the insured would be verified by payroll records. 
"
Why Is Boys Car Insurance Higher?,"Insurance companies look at statistics and loss ratio's to set their rates. Unfortunately, boys have a higher loss ratio and incidence of accidents than girls. Is it always fair, probably not. Many boys are much better drivers than girls. But until the statistics change, that is just the way it is. 
"
